order_id,order_date,region,category,product,channel,quantity,unit_price,amount
1,2025-11-24,West,Apparel,T-Shirt,online,10,17.35,173.5
2,2025-10-07,West,Grocery,Coffee Beans,online,11,13.43,147.73
3,2025-11-05,West,Home,Towel Set,store,8,27.22,217.76
4,2025-03-23,South,Apparel,T-Shirt,online,6,18.82,112.92
5,2025-02-22,West,Electronics,Headphones,store,4,79.82,319.28
6,2025-10-02,West,Grocery,Coffee Beans,store,13,14.46,187.98
7,2025-04-09,West,Home,Lamp,online,2,36.24,72.48
8,2025-07-14,South,Home,Lamp,store,5,33.98,169.9
9,2025-12-26,West,Home,Towel Set,online,12,27.06,324.72
10,2025-11-24,East,Apparel,T-Shirt,online,6,18.58,111.48
11,2025-07-25,East,Apparel,T-Shirt,store,8,17.81,142.48
12,2025-03-15,East,Apparel,Jacket,store,7,92.54,647.78
13,2025-07-05,East,Grocery,Coffee Beans,online,3,14.51,43.53
14,2025-11-18,West,Grocery,Olive Oil,online,15,11.86,177.9
15,2025-05-09,West,Electronics,Phone Case,store,6,24.64,147.84
16,2025-02-27,East,Grocery,Coffee Beans,store,3,14.66,43.98
17,2025-09-17,South,Home,Blender,store,1,60.55,60.55
18,2025-11-03,West,Electronics,Laptop,store,9,933.05,8397.45
19,2025-01-30,Northeast,Electronics,Laptop,store,3,927.41,2782.23
20,2025-03-07,Northeast,Home,Lamp,store,4,36.63,146.52
21,2025-06-09,South,Grocery,Olive Oil,store,4,11.55,46.2
22,2025-02-02,Northeast,Home,Towel Set,online,1,26.62,26.62
23,2025-04-28,West,Electronics,Headphones,online,0,79.11,0.0
24,2025-09-06,East,Grocery,Coffee Beans,store,4,14.43,57.72
25,2025-02-18,West,Grocery,Pasta,store,1,3.47,3.47
26,2025-12-11,West,Electronics,Headphones,store,4,81.37,325.48
27,2025-04-08,East,Grocery,Coffee Beans,store,2,13.95,27.9
28,2025-08-15,Northeast,Electronics,Laptop,online,4,941.16,3764.64
29,2025-03-27,Midwest,Home,Lamp,online,1,33.83,33.83
30,2025-07-19,Midwest,Apparel,Jeans,store,5,46.34,231.7
31,2025-04-22,Northeast,Electronics,Phone Case,store,8,22.94,183.52
32,2025-09-15,Northeast,Home,Blender,online,2,61.07,122.14
33,2025-11-01,West,Home,Lamp,online,11,36.55,402.05
34,2025-11-01,West,Electronics,Headphones,store,8,82.43,659.44
35,2025-06-10,Midwest,Home,Towel Set,store,2,27.88,55.76
36,2025-01-05,Northeast,Electronics,Laptop,online,3,899.53,2698.59
37,2025-06-28,East,Apparel,Jeans,online,5,47.7,238.5
38,2025-11-10,Northeast,Electronics,Phone Case,store,2,25.04,50.08
39,2025-03-10,West,Home,Lamp,store,6,35.37,212.22
40,2025-04-15,South,Grocery,Pasta,online,7,3.36,23.52
41,2025-05-22,West,Apparel,T-Shirt,store,8,17.39,139.12
42,2025-10-10,Northeast,Electronics,Laptop,online,3,939.01,2817.03
43,2025-10-07,West,Apparel,Jacket,online,6,88.38,530.28
44,2025-07-06,West,Apparel,T-Shirt,online,6,18.3,109.8
45,2025-10-14,Midwest,Home,Blender,online,3,61.81,185.43
46,2025-07-31,West,Apparel,Jeans,online,2,46.88,93.76
47,2025-07-15,Midwest,Home,Blender,store,4,58.11,232.44
48,2025-04-25,West,Home,Lamp,store,2,34.23,68.46
49,2025-05-23,Northeast,Grocery,Olive Oil,store,2,12.53,25.06
50,2025-05-14,West,Apparel,T-Shirt,online,6,18.17,109.02
51,2025-06-10,Northeast,Electronics,Headphones,online,1,77.06,77.06
52,2025-09-24,Northeast,Home,Lamp,store,6,33.49,200.94
53,2025-11-16,West,Electronics,Phone Case,store,12,24.02,288.24
54,2025-07-26,Northeast,Home,Blender,store,7,59.97,419.79
55,2025-12-13,East,Apparel,Jeans,online,4,47.06,188.24
56,2025-08-09,Northeast,Apparel,Jeans,store,4,47.72,190.88
57,2025-09-19,East,Electronics,Headphones,store,2,75.79,151.58
58,2025-12-11,West,Home,Blender,online,15,56.32,844.8
59,2025-02-07,Northeast,Home,Towel Set,store,4,27.98,111.92
60,2025-03-17,West,Electronics,Headphones,online,5,76.44,382.2
61,2025-08-26,West,Home,Blender,store,8,56.84,454.72
62,2025-12-08,Northeast,Apparel,Jeans,store,8,49.59,396.72
63,2025-03-23,Midwest,Grocery,Pasta,online,5,3.62,18.1
64,2025-09-24,East,Apparel,Jeans,online,4,49.03,196.12
65,2025-05-20,Northeast,Electronics,Laptop,online,3,874.84,2624.52
